# QMC Seed Set
# seed_set_id: phi_qmc_001
# qmc_type: sobol
# num_samples: 1000
# dimensions: 4
# seed: 42
# timestamp_utc: 2025-12-15T01:33:10.377747+00:00
# generator: scipy.stats.qmc
# scramble: true
#
row_id,dim_0,dim_1,dim_2,dim_3
19,1.3015654310584068e-01,8.0237282440066338e-02,7.2726452723145485e-02,3.8297615107148886e-01
20,6.8197844550013542e-02,7.5249798130244017e-01,3.3022131305187941e-01,3.0177520681172609e-01
21,9.3949508108198643e-01,2.4865955952554941e-01,7.1559758298099041e-01,7.5960970576852560e-01
22,6.6500881221145391e-01,6.4606796111911535e-01,2.3279781546443701e-01,2.8829224407672882e-02
23,2.9604830872267485e-01,3.5325859207659960e-01,8.4424819238483906e-01,5.3255760110914707e-01
24,3.2870139833539724e-01,9.3844385165721178e-01,1.3675022684037685e-01,8.2915739063173532e-01
25,7.1023656707257032e-01,5.9422089718282223e-02,7.5283941160887480e-01,3.5728856455534697e-01
26,9.3528245948255062e-01,5.8585903886705637e-01,2.9717739857733250e-01,6.1871059611439705e-01
27,5.7029591873288155e-02,4.1774425935000181e-01,6.8621564563363791e-01,6.7737257108092308e-02
28,2.4508501589298248e-01,7.4549214355647564e-01,9.1303284280002117e-01,2.4262433126568794e-01
29,8.7222589924931526e-01,2.5712589547038078e-01,3.9131182245910168e-02,6.9202107749879360e-01
30,5.2329312358051538e-01,8.5595048405230045e-01,5.2608134038746357e-01,4.5405346993356943e-01
31,3.9064597059041262e-01,1.4093018323183060e-01,3.9485557284206152e-01,9.8059385549277067e-01
32,3.8210658170282841e-01,7.0302393753081560e-01,1.0029532853513956e-01,5.5344463419169188e-01
33,5.0058619491755962e-01,3.0058208014816046e-01,9.7688204422593117e-01,1.0168545879423618e-02
34,8.5392482113093138e-01,8.3688932005316019e-01,4.6382457483559847e-01,7.7952515147626400e-01
35,2.3213238921016455e-01,1.6097944509238005e-01,5.8211042732000351e-01,2.8408992663025856e-01
36,4.4092101044952869e-02,9.8871099762618542e-01,8.2449920568615198e-01,4.0602900646626949e-01
37,9.1696599964052439e-01,8.1746540963649750e-03,1.9009996578097343e-01,9.0926263108849525e-01
38,6.8754501268267632e-01,5.9709414280951023e-01,7.3443032521754503e-01,1.7898545693606138e-01
39,3.2014686614274979e-01,4.0552874654531479e-01,3.7395699322223663e-01,6.3630809728056192e-01
40,3.0507189407944679e-01,8.0276917666196823e-01,6.4296073094010353e-01,9.9589628912508488e-01
41,6.8723911046981812e-01,1.9741570390760899e-01,2.7784862462431192e-01,4.4445639103651047e-01
42,9.5828798878937960e-01,6.5730711445212364e-01,7.9505648463964462e-01,7.0635168906301260e-01
43,8.0650956369936466e-02,3.4104665927588940e-01,1.5699524153023958e-01,2.3400289285928011e-01
44,1.4259451907128096e-01,5.1329126488417387e-01,4.3029059097170830e-01,8.0749950371682644e-02
45,7.7134353574365377e-01,4.8603227082639933e-01,5.5321522150188684e-01,6.0780218709260225e-01
46,6.2418356724083424e-01,9.0087979938834906e-01,4.7344714403152466e-03,3.6933127976953983e-01
47,4.9312833510339260e-01,1.0027485806494951e-01,8.8498319406062365e-01,8.1922277063131332e-01
48,4.5475803781300783e-01,9.2880199570208788e-01,2.8872788790613413e-01,1.5283118654042482e-01
49,5.8442424330860376e-01,7.3461874388158321e-02,6.6531511023640633e-01,6.5690768416970968e-01
50,8.0908824875950813e-01,5.3129524830728769e-01,1.5228005219250917e-01,4.2675066739320755e-01
51,1.8297947943210602e-01,4.6498710941523314e-01,7.7056635171175003e-01,8.8298630155622959e-01
52,1.2089775688946247e-01,6.3721836917102337e-01,5.1300853583961725e-01,8.0177269130945206e-01
53,9.9616920016705990e-01,3.6003376170992851e-01,3.7860884889960289e-01,2.5958361662924290e-01
54,6.4734329562634230e-01,7.7697364427149296e-01,9.2293205577880144e-01,5.2881624270230532e-01
55,2.6683976408094168e-01,2.2625998407602310e-01,6.2458217144012451e-02,3.2538152299821377e-02
56,3.5796406399458647e-01,5.7713032513856888e-01,9.5654233172535896e-01,3.2913892343640327e-01
57,7.2784986998885870e-01,4.2464078404009342e-01,9.1429718770086765e-02,8.5727841220796108e-01
58,8.7855374254286289e-01,9.6279625222086906e-01,6.0861516743898392e-01,1.1868352536112070e-01
59,4.3823700398206711e-03,3.6899728700518608e-02,4.7055347729474306e-01,5.6773191224783659e-01
60,1.9231667742133141e-01,8.6467895936220884e-01,2.4367335066199303e-01,7.4263731483370066e-01
61,8.1562020629644394e-01,1.3403389696031809e-01,8.6659842822700739e-01,1.9204052817076445e-01
62,5.4078340250998735e-01,7.2113950457423925e-01,3.1812483072280884e-01,9.5405598357319832e-01
63,4.2002975288778543e-01,2.7964849490672350e-01,6.9837405998259783e-01,4.8061994276940823e-01
64,4.0872464515268803e-01,6.0530978348106146e-01,3.4953617863357067e-01,8.4687788784503937e-01
65,5.3646825067698956e-01,3.9840739686042070e-01,7.2954121511429548e-01,3.4362927265465260e-01
66,8.2777787279337645e-01,9.9686553608626127e-01,2.1256938762962818e-01,5.7392148394137621e-01
67,1.9577921833842993e-01,8.7013188749551773e-04,8.3525037672370672e-01,1.1658379342406988e-01
68,8.6984457448124886e-03,8.2838233932852745e-01,5.7723467610776424e-01,1.9757015723735094e-01
69,8.8985977414995432e-01,1.6838547401130199e-01,4.3941710423678160e-01,7.4083131458610296e-01
70,7.2438634559512138e-01,6.9470011442899704e-01,9.8761604167521000e-01,4.7148971259593964e-01
71,3.4580541402101517e-01,3.0804919637739658e-01,1.2274759169667959e-01,9.6690982766449451e-01
72,2.7897072210907936e-01,8.9280244149267673e-01,8.9182785432785749e-01,6.7018880043178797e-01
73,6.5084016323089600e-01,1.0750015825033188e-01,3.1109927222132683e-02,1.4315161388367414e-01
74,9.8489079345017672e-01,5.0503086857497692e-01,5.4441964533179998e-01,8.8160751387476921e-01
75,1.1654827091842890e-01,4.9319660291075706e-01,4.0977576561272144e-01,4.3173101358115673e-01
76,1.7948162835091352e-01,6.6571014467626810e-01,1.8335352372378111e-01,2.5705660507082939e-01
77,7.9695630725473166e-01,3.3350234758108854e-01,8.0188398621976376e-01,8.0851161293685436e-01
78,5.8877465315163136e-01,8.1123318988829851e-01,2.5734715815633535e-01,4.6601281501352787e-02
79,4.6603736840188503e-01,1.9005444552749395e-01,6.3417849875986576e-01,5.1896500866860151e-01
80,4.8865633178502321e-01,7.6869220938533545e-01,3.6099774762988091e-02,4.4722752086818218e-01
81,6.1302583012729883e-01,2.3343760985881090e-01,9.1610436420887709e-01,9.8940154537558556e-01
82,7.7471883967518806e-01,6.2912009190768003e-01,3.9911012537777424e-01,2.2018392663449049e-01
83,1.5484900772571564e-01,3.6727247480303049e-01,5.2179060783237219e-01,7.1644702646881342e-01
84,9.1807769611477852e-02,5.3973833844065666e-01,7.6372150145471096e-01,5.9427695255726576e-01
85,9.6275906823575497e-01,4.5763926021754742e-01,1.2590443622320890e-01,9.0185345150530338e-02
86,6.7498560529202223e-01,9.3718398362398148e-01,6.7411052621901035e-01,8.2035739533603191e-01
87,3.0169757362455130e-01,6.5930852666497231e-02,3.0924252327531576e-01,3.6410683020949364e-01
88,3.2348784338682890e-01,7.2928074933588505e-01,7.0325009804219007e-01,4.3947538360953331e-03
89,6.9982620980590582e-01,2.7236501127481461e-01,3.4253261797130108e-01,5.5500653106719255e-01
90,9.1252833046019077e-01,8.7288118712604046e-01,8.5586474742740393e-01,2.9297603853046894e-01
91,3.2907662913203239e-02,1.2693346664309502e-01,2.2122137434780598e-01,7.6642712950706482e-01
92,2.1985217556357384e-01,9.5445901993662119e-01,4.9497460853308439e-01,9.1990731842815876e-01
93,8.5058482736349106e-01,4.4387768022716045e-02,6.1350456438958645e-01,3.9178276062011719e-01
94,5.1176970917731524e-01,5.6861005444079638e-01,6.8960583768785000e-02,6.3036264386028051e-01
95,3.8654332701116800e-01,4.3206785526126623e-01,9.4579147733747959e-01,1.8132936675101519e-01
96,4.0289900265634060e-01,9.7446631826460361e-01,5.5723325535655022e-01,3.4688038844615221e-01
97,5.2666792459785938e-01,2.5345675647258759e-02,4.2625163588672876e-01,8.4365540649741888e-01
98,8.6106956657022238e-01,6.1208531074225903e-01,8.8170002400875092e-01,7.3934480547904968e-02
99,2.4061346333473921e-01,3.8955768570303917e-01,8.0424966290593147e-03,6.1660319752991199e-01
100,5.3653807379305363e-02,7.1709957066923380e-01,2.6599523797631264e-01,6.9754309952259064e-01
101,9.2302844393998384e-01,2.8357341419905424e-01,6.5478938166052103e-01,2.4082592315971851e-01
102,7.1470904350280762e-01,8.2160705048590899e-01,1.6811387985944748e-01,9.7147123236209154e-01
103,3.3985865488648415e-01,1.7723494675010443e-01,7.8395888675004244e-01,4.6689972188323736e-01
104,2.8486526757478714e-01,5.2755311038345098e-01,2.0146475825458765e-01,1.7017580196261406e-01
105,6.6057158634066582e-01,4.6884408313781023e-01,8.1315926834940910e-01,6.4313220791518688e-01
106,9.5177481416612864e-01,8.8590579759329557e-01,3.6137298960238695e-01,3.8160501513630152e-01
107,7.1538311429321766e-02,1.1622875276952982e-01,7.4699340760707855e-01,9.3170488160103559e-01
108,1.3459469284862280e-01,7.8871070966124535e-01,9.7335272375494242e-01,7.5707508716732264e-01
109,7.6371921133249998e-01,2.1440720371901989e-01,1.0384568944573402e-01,3.0852172058075666e-01
110,5.9862719289958477e-01,6.7260655015707016e-01,5.8685908187180758e-01,5.4662833735346794e-01
111,4.7180888988077641e-01,3.2477399148046970e-01,4.5905118435621262e-01,1.8970398232340813e-02
112,4.4773643556982279e-01,6.5347338654100895e-01,8.7060838565230370e-01,9.4721000175923109e-01
113,5.7582169491797686e-01,3.4475100785493851e-01,2.3962721321731806e-01,4.8939043376594782e-01
114,7.8841730207204819e-01,7.5996450893580914e-01,6.9509801268577576e-01,7.2015590779483318e-01
115,1.5677460655570030e-01,2.4033514782786369e-01,3.2144099194556475e-01,2.1644264087080956e-01
116,9.3856392428278923e-02,9.1283045057207346e-01,7.9569209367036819e-02,9.4288988038897514e-02
117,9.7633641399443150e-01,8.8452558033168316e-02,9.6836284641176462e-01,5.9020575508475304e-01
118,6.3790258672088385e-01,5.4846580047160387e-01,4.8168019205331802e-01,3.2036085706204176e-01
119,2.6065465342253447e-01,4.5074196066707373e-01,5.9752475190907717e-01,8.6413195822387934e-01
120,3.6459871288388968e-01,8.4840677585452795e-01,3.8998171780258417e-01,5.0442277081310749e-01
121,7.3683937173336744e-01,1.4933381695300341e-01,5.0167578086256981e-01,5.5010914802551270e-02
122,8.9888351224362850e-01,7.3813147377222776e-01,4.9867090769112110e-02,7.9299355950206518e-01
123,3.0928419902920723e-02,2.6559049729257822e-01,9.3548700213432312e-01,2.6643824297934771e-01
124,2.1799404919147491e-01,5.9308470413088799e-01,6.6179291252046824e-01,4.1990385856479406e-01
125,8.3681698516011238e-01,4.0966726653277874e-01,2.9228638485074043e-01,8.9175763446837664e-01
126,5.4890589509159327e-01,9.4560853391885757e-01,7.7530692983418703e-01,1.3035060651600361e-01
127,4.2753307987004519e-01,5.1162043586373329e-02,1.4749947935342789e-01,6.8130895495414734e-01
128,4.2299631703644991e-01,6.6027042176574469e-01,6.7737562302500010e-01,2.0853753574192524e-01
129,5.5369058344513178e-01,3.3613452035933733e-01,3.0786849930882454e-01,7.2788026928901672e-01
130,8.3987528458237648e-01,7.9981207381933928e-01,7.5967003870755434e-01,4.9711315240710974e-01
131,2.1468776464462280e-01,2.0233022514730692e-01,1.3186223059892654e-01,9.3930276948958635e-01
132,2.6632221415638924e-02,9.0579527243971825e-01,4.0562296006828547e-01,8.7203593458980322e-01
133,9.0293172560632229e-01,9.7314892336726189e-02,5.1731761917471886e-01,3.1264239270240068e-01
134,7.4063414614647627e-01,5.0838007777929306e-01,3.4288969822227955e-02,5.8248560316860676e-01
135,3.6105186399072409e-01,4.8899271525442600e-01,9.1990923881530762e-01,1.0219079256057739e-01
136,2.6370150875300169e-01,8.4174137748777866e-01,6.3928265124559402e-02,2.7440192084759474e-01
137,6.3461537566035986e-01,1.5807812660932541e-01,9.5272249821573496e-01,7.8533741924911737e-01
138,9.7184161283075809e-01,6.9817140512168407e-01,4.9725884944200516e-01,4.7352654859423637e-02
139,9.8591489717364311e-02,3.0347910150885582e-01,6.1310376692563295e-01,5.1238479837775230e-01
140,1.6055030748248100e-01,5.9999211970716715e-01,8.5502716526389122e-01,6.7334343306720257e-01
141,7.8488189727067947e-01,4.0067335497587919e-01,2.2404539678245783e-01,1.3801335915923119e-01
142,5.7157508749514818e-01,9.8581063468009233e-01,7.1073615550994873e-01,8.9941822271794081e-01
143,4.5174268726259470e-01,1.3023852370679379e-02,3.3707877714186907e-01,4.1193664167076349e-01
144,4.7637593187391758e-01,9.6575812902301550e-01,9.8899241629987955e-01,6.2432543560862541e-01
145,5.9381222538650036e-01,3.1989973969757557e-02,1.1948573961853981e-01,6.6026775166392326e-02
146,7.6063015591353178e-01,5.7417179178446531e-01,5.7127917278558016e-01,8.3574982080608606e-01
147,1.3793173339217901e-01,4.2955768946558237e-01,4.4347187131643295e-01,3.5460427682846785e-01
148,7.5865265913307667e-02,7.2605354711413383e-01,2.1704186592251062e-01,4.5917908940464258e-01
149,9.4769584480673075e-01,2.7669091336429119e-01,8.2873601838946342e-01,9.7937256377190351e-01
150,6.5674653276801109e-01,8.5976634174585342e-01,3.4573073405772448e-01,2.4872941896319389e-01
151,2.8844239562749863e-01,1.3699672557413578e-01,7.3135055601596832e-01,6.8982416205108166e-01
152,3.3684207871556282e-01,5.3614492155611515e-01,2.5041938200592995e-01,9.2404614109545946e-01
153,7.1796597540378571e-01,4.6208722144365311e-01,6.3921316806226969e-01,3.8956656958907843e-01
154,9.2749248910695314e-01,9.2394707910716534e-01,1.8375762552022934e-01,6.5109540522098541e-01
155,4.8949466086924076e-02,7.6360326260328293e-02,7.9960203636437654e-01,1.6251918859779835e-01
156,2.3686851840466261e-01,7.7986923698335886e-01,5.4159409925341606e-01,2.6630505919456482e-02
157,8.6457421537488699e-01,2.2140602301806211e-01,4.1061283741146326e-01,5.3866064734756947e-01
158,5.3088425286114216e-01,6.3431562203913927e-01,8.9728023111820221e-01,3.0055571813136339e-01
159,3.9892303012311459e-01,3.6488439049571753e-01,2.3623299784958363e-02,7.6473736669868231e-01
160,3.8988033775240183e-01,7.9108336009085178e-01,4.7933342587202787e-01,7.0854838099330664e-01
161,5.0868062395602465e-01,2.0922674983739853e-01,5.9786397777497768e-01,2.2789805848151445e-01
162,8.4576983004808426e-01,6.8462282232940197e-01,8.4539002738893032e-02,9.9711732752621174e-01
163,2.2441918775439262e-01,3.1361215934157372e-01,9.6137025393545628e-01,4.3933099508285522e-01
164,3.6484761163592339e-02,5.1710855308920145e-01,6.8766863923519850e-01,3.7201531417667866e-01
165,9.0870324708521366e-01,4.8209642898291349e-01,3.2695056311786175e-01,8.1263056397438049e-01
166,6.9574721064418554e-01,8.8144263345748186e-01,8.7150265183299780e-01,8.2460208795964718e-02
167,3.2781476806849241e-01,1.1983749177306890e-01,2.3685892112553120e-01,6.0218760091811419e-01
168,2.9699320252984762e-01,7.0702123548835516e-01,7.7930445037782192e-01,7.7439774386584759e-01
169,6.7944962065666914e-01,2.9670369345694780e-01,1.4148678909987211e-01,2.8530919179320335e-01
170,9.6601597033441067e-01,8.1726595293730497e-01,6.5847387351095676e-01,5.4734181147068739e-01
171,8.8791163638234138e-02,1.8047746364027262e-01,2.9360551293939352e-01,1.2367011047899723e-02
172,1.5087300539016724e-01,9.7696104273200035e-01,5.1741255447268486e-02,1.7336882930248976e-01
173,7.7893513813614845e-01,1.9799022004008293e-02,9.3174644093960524e-01,6.3801655266433954e-01
174,6.1653044912964106e-01,6.2446778267621994e-01,3.8353224284946918e-01,3.9943884126842022e-01
175,4.8491135705262423e-01,3.7827377952635288e-01,5.0621308293193579e-01,9.1194846853613853e-01
176,4.6273111365735531e-01,5.8094642497599125e-01,1.6777790617197752e-01,1.2429909501224756e-01
177,5.9183298237621784e-01,4.2070708423852921e-01,7.8630801104009151e-01,5.6602448504418135e-01
178,8.0174102541059256e-01,9.4335789792239666e-01,2.7299114223569632e-01,3.3573014661669731e-01
179,1.7494489531964064e-01,5.6464504450559616e-02,6.4982188679277897e-01,8.5459154658019543e-01
180,1.1300145182758570e-01,8.5299194697290659e-01,8.7618893664330244e-01,9.5918421074748039e-01
181,9.8868559766560793e-01,1.4584709238260984e-01,1.5471367165446281e-02,4.7939988784492016e-01
182,6.5488840639591217e-01,7.4845401663333178e-01,5.6000009085983038e-01,7.4873931799083948e-01
183,2.7467455342411995e-01,2.5221614446491003e-01,4.2535680718719959e-01,1.8984285276383162e-01
184,3.5054054111242294e-01,9.1704942192882299e-01,5.9287413023412228e-01,4.2406581342220306e-01
185,7.1989157423377037e-01,8.5087907500565052e-02,4.5505691599100828e-01,8.8957929797470570e-01
186,8.8657259289175272e-01,5.5866626929491758e-01,9.7203589417040348e-01,1.5112174768000841e-01
187,1.1745330877602100e-02,4.3773380760103464e-01,1.0716804023832083e-01,6.6252148058265448e-01
188,1.9978549983352423e-01,6.4121304079890251e-01,3.6511304788291454e-01,5.2662060875445604e-01
189,8.2353129517287016e-01,3.5615704767405987e-01,7.4511772673577070e-01,3.8641958497464657e-02
190,5.3293287567794323e-01,7.5734765082597733e-01,1.9692689366638660e-01,8.0055059492588043e-01
191,4.1250037588179111e-01,2.4575967527925968e-01,8.1960728671401739e-01,2.6471004076302052e-01
192,4.1694090608507395e-01,8.8880186527967453e-01,2.2806357964873314e-01,8.7501694634556770e-01
193,5.4412017483264208e-01,1.1137526668608189e-01,8.5098806116729975e-01,4.3441722355782986e-01
194,8.2018745690584183e-01,5.2465083822607994e-01,3.3379545807838440e-01,6.6457209829241037e-01
195,1.8750144168734550e-01,4.7369518689811230e-01,7.1404432971030474e-01,1.4486017357558012e-01
196,5.5704824626445770e-04,6.7745670210570097e-01,9.4086902216076851e-01,4.0498026646673679e-02
197,8.8213107921183109e-01,3.2187458220869303e-01,7.5757005251944065e-02,5.2116393577307463e-01
198,7.3217655625194311e-01,7.8385627176612616e-01,6.2422249466180801e-01,2.5192915275692940e-01
199,3.5388530325144529e-01,2.1730613429099321e-01,4.8616116214543581e-01,8.0973089300096035e-01
200,2.7130401786416769e-01,6.1699887830764055e-01,5.2868226263672113e-01,5.7563205529004335e-01
201,6.4263868611305952e-01,3.8659962918609381e-01,3.9428317174315453e-01,1.1096886452287436e-01
202,9.9315283261239529e-01,9.6955322567373514e-01,9.0732538420706987e-01,8.4956208616495132e-01
203,1.2415442056953907e-01,2.8308029286563396e-02,4.6851903200149536e-02,3.3703693188726902e-01
204,1.8719553947448730e-01,8.2456844858825207e-01,3.0433926824480295e-01,4.7271103411912918e-01
205,8.0511248484253883e-01,1.7232471331954002e-01,6.8092589452862740e-01,9.6178417839109898e-01
206,5.8067903015762568e-01,7.1414055861532688e-01,1.3661079574376345e-01,1.9976704288274050e-01
207,4.5826289523392916e-01,2.8848984092473984e-01,7.5489673763513565e-01,7.3472625669091940e-01
208,4.9618690274655819e-01,7.4102897197008133e-01,4.1462288424372673e-01,2.9175386764109135e-01
209,6.2087707407772541e-01,2.6073462702333927e-01,5.3754787240177393e-01,7.7155365794897079e-01
210,7.6680704113095999e-01,8.4550593420863152e-01,2.0347163081169128e-02,2.1987175568938255e-03
211,1.4737899880856276e-01,1.5418253652751446e-01,9.0059648174792528e-01,5.6111070979386568e-01
212,8.4445522166788578e-02,9.5046011637896299e-01,6.2735250964760780e-01,6.2865316029638052e-01
213,9.5474140811711550e-01,4.8260250128805637e-02,2.6224004570394754e-01,1.8694317806512117e-01
214,6.8294270336627960e-01,5.8823169674724340e-01,8.1072890013456345e-01,9.1722203232347965e-01
215,3.0912037566304207e-01,4.1256381291896105e-01,1.7266706097871065e-01,3.9837621897459030e-01
216,3.1565233319997787e-01,7.6488046068698168e-01,8.4010879788547754e-01,2.2628609370440245e-01
217,6.9227990135550499e-01,2.3737566079944372e-01,2.0570920035243034e-01,7.1424921695142984e-01
218,9.2001312319189310e-01,6.4856267813593149e-01,7.1875951904803514e-01,4.5235606096684933e-01
219,4.0804681368172169e-02,3.4771193098276854e-01,3.5828559100627899e-01,9.8818114772439003e-01
220,2.2788557317107916e-01,5.5142958275973797e-01,1.1596369091421366e-01,8.2694881223142147e-01
221,8.5793134104460478e-01,4.4583029672503471e-01,9.9255076423287392e-01,3.6141974106431007e-01
222,5.0436168722808361e-01,9.0987382270395756e-01,4.4821230042725801e-01,5.9989280533045530e-01
223,3.7857144512236118e-01,9.3367554247379303e-02,5.6649874895811081e-01,8.8477664627134800e-02
224,3.9543042052537203e-01,5.0017642695456743e-01,9.2870680801570415e-01,3.7501181010156870e-01
225,5.1875659916549921e-01,4.9609553720802069e-01,5.4805743508040905e-02,9.3438994418829679e-01
226,8.6891937628388405e-01,8.9765258971601725e-01,5.1047490723431110e-01,1.6456221416592598e-01
227,2.4814355373382568e-01,1.0460075270384550e-01,3.7924949731677771e-01,6.4484143815934658e-01
228,6.1078043654561043e-02,8.0833092145621777e-01,1.5236184559762478e-01,5.4052438214421272e-01
229,9.3098602257668972e-01,1.9490554556250572e-01,7.6845043431967497e-01,2.1166181191802025e-02
230,7.0668995659798384e-01,6.6860621608793736e-01,2.8150838054716587e-01,7.5194881204515696e-01
231,3.3249593432992697e-01,3.2864885777235031e-01,6.7054626997560263e-01,3.0974366795271635e-01
232,2.9276085924357176e-01,9.9390652030706406e-01,3.1461130362004042e-01,7.5641937553882599e-02
233,6.6805590596050024e-01,5.7865623384714127e-03,6.9998697750270367e-01,6.1098759807646275e-01
234,9.4422993995249271e-01,6.0827117785811424e-01,2.4846820440143347e-01,3.4956722427159548e-01
235,6.3703281804919243e-02,3.9349716715514660e-01,8.5991822369396687e-01,8.3706421311944723e-01
236,1.2662137672305107e-01,6.8978702556341887e-01,6.0236793290823698e-01,9.7269137669354677e-01
237,7.5631070882081985e-01,3.1101154629141092e-01,4.7480473481118679e-01,4.6177140530198812e-01
238,6.0597513336688280e-01,8.3329591061919928e-01,9.5759639795869589e-01,6.9974068552255630e-01
239,4.7984276060014963e-01,1.6542741376906633e-01,8.8333899155259132e-02,2.3472400940954685e-01
240,4.3945818580687046e-01,8.6802817601710558e-01,7.4208622984588146e-01,7.9177450295537710e-01
241,5.6822985224425793e-01,1.2983001675456762e-01,3.6818465869873762e-01,2.7156544197350740e-01
242,7.9606970679014921e-01,7.3413232807070017e-01,8.2386192865669727e-01,5.0222409702837467e-01
243,1.6499230172485113e-01,2.6946322154253721e-01,1.9263607170432806e-01,6.1113946139812469e-02
244,1.0193580109626055e-01,5.6570921652019024e-01,4.6593915484845638e-01,1.2864230014383793e-01
245,9.8412519041448832e-01,4.3691657111048698e-01,5.8202819060534239e-01,6.8692543357610703e-01
246,6.3017436489462852e-01,9.5735652185976505e-01,9.5062771812081337e-02,4.1721787210553885e-01
247,2.5251468271017075e-01,3.9531894028186798e-02,9.8410116787999868e-01,8.9834794867783785e-01
248,3.7220533564686775e-01,6.2616346031427383e-01,3.1239716336131096e-03,7.2626071237027645e-01
249,7.4510283768177032e-01,3.7218747474253178e-01,8.8850015215575695e-01,2.1424597874283791e-01
250,8.9068155456334352e-01,7.7165598794817924e-01,4.3697327282279730e-01,9.5233542751520872e-01
251,2.3260281421244144e-02,2.2852594964206219e-01,5.4842373915016651e-01,4.8816936556249857e-01
252,2.1022005658596754e-01,9.3227327894419432e-01,7.9080478381365538e-01,3.2695297431200743e-01
253,8.2872279640287161e-01,6.8891772069036961e-02,1.6324113868176937e-01,8.6144801322370768e-01
254,5.5706159956753254e-01,5.4465429391711950e-01,6.4605616685003042e-01,9.9903663620352745e-02
255,4.3524556420743465e-01,4.5467976946383715e-01,2.7679316140711308e-01,5.8849540725350380e-01
256,4.3737239111214876e-01,5.4492951743304729e-01,5.7784805074334145e-02,3.1247049849480391e-01
257,5.5469447467476130e-01,4.5524705573916435e-01,9.2753561493009329e-01,7.5309722218662500e-01
258,8.3100596442818642e-01,9.3077854253351688e-01,3.8225158117711544e-01,2.2924957796931267e-02
259,2.0817711949348450e-01,6.7567028105258942e-02,5.0932646822184324e-01,5.4264087602496147e-01
260,2.1232666447758675e-02,7.7108441013842821e-01,7.6740127988159657e-01,6.4698943309485912e-01
261,8.9294952712953091e-01,2.2824643459171057e-01,1.5546300914138556e-01,1.6635052487254143e-01
262,7.4275091569870710e-01,6.2748391274362803e-01,6.6951992921531200e-01,9.3556788843125105e-01
263,3.7431684788316488e-01,3.7367791961878538e-01,2.8463250678032637e-01,3.7777014169842005e-01
264,2.5096408557146788e-01,9.6087120007723570e-01,7.0311137195676565e-01,2.3687088675796986e-01
265,6.3197283353656530e-01,4.2727806605398655e-02,3.1358517147600651e-01,7.0153008401393890e-01
266,9.8224277235567570e-01,5.6342549528926611e-01,8.6301959585398436e-01,4.6295046713203192e-01
267,1.0357029549777508e-01,4.3443615455180407e-01,2.4741931818425655e-01,9.7544862050563097e-01
268,1.6661147400736809e-01,7.3094070702791214e-01,4.7365656401962042e-01,8.3979192283004522e-01
269,7.9420248419046402e-01,2.6595283485949039e-01,6.0537022538483143e-01,3.5071478504687548e-01
270,5.7001311797648668e-01,8.7051288411021233e-01,8.7162914685904980e-02,6.1274549551308155e-01
271,4.3792290333658457e-01,1.3211802951991558e-01,9.6057572774589062e-01,7.7759280800819397e-02
272,4.7773900069296360e-01,8.3490133099257946e-01,3.6932530440390110e-01,8.9574318844825029e-01
273,6.0831907205283642e-01,1.6686284169554710e-01,7.3907656129449606e-01,4.1594739165157080e-01
